$NUMS 030
$STOM 10.00
$MLCM 00
$SSO 100.0
$FSS 1.0
$DINA wf
$RDNG WF
$VERS 001
$MODL TrueBeam
$ENER 6
$DATE 2025-03-31T00:00:00
$TYPE PHOTON
$CIAO Wedge Factors for TrueBeam 6MV

$WDGD 15
$DPTH 10.0
// Field Size(cm), Wedge Factor
4.0, 0.843
5.0, 0.838
6.0, 0.834
7.0, 0.830
8.0, 0.827
9.0, 0.824
10.0, 0.822
12.0, 0.817
14.0, 0.813
16.0, 0.809
18.0, 0.806
20.0, 0.803

$WDGD 30
$DPTH 10.0
// Field Size(cm), Wedge Factor
4.0, 0.732
5.0, 0.725
6.0, 0.719
7.0, 0.714
8.0, 0.710
9.0, 0.706
10.0, 0.703
12.0, 0.697
14.0, 0.692
16.0, 0.688
18.0, 0.684
20.0, 0.680

$WDGD 45
$DPTH 10.0
// Field Size(cm), Wedge Factor
4.0, 0.627
5.0, 0.618
6.0, 0.611
7.0, 0.605
8.0, 0.599
9.0, 0.595
10.0, 0.591
12.0, 0.584
14.0, 0.579
16.0, 0.574 
